index,comment,n_star,date_time,label
24,"điện thoại thiết kế sang trọng, cameraa chụp ảnh rất tốt, pin dùng ổn định, máy dùng mượt, không bị đơ",5,19/08/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};
25,"Máy màn hình lớn , nhận diện khuôn mặt nhanh ( trong đk trời sáng ) ,cấu hình tạm ổn cho các tác vụ cơ bản , pin trâu ,...NV TGDD Nhiệt Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10-15 ngày ( TGDD rút kinh nghiệm về các CTKM kiểu như vậy )",5,4/3/2019,{SCREEN#Positive};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{SER&ACC#Neutral};
26,Pin trâu . Giá rẻ. Cấu hình ngon . Mượt mà . Máy chơi game rất tốt . Nhân viên tư vấn nhiệt tình,5,7 ngày trước,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{SER&ACC#Positive};
27,"Không nên mua, không tương xứng trong cùng phân khúc, chụp ảnh kém mờ, được mỗi pin trâu .",1,15/03/2020,{CAMERA#Negative};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Negative};
28,"Cập nhật lại ổn nhưng camera xấu xấu tệ, hy vọng cập nhật lại camera tốt hơn cho bản sau",3,14/06/2019,{CAMERA#Negative};{PERFORMANCE#Positive};
29,"Mới dùng đc tầm nửa tháng thấy khá là OK mượt
Chơi game mức độ mặc định cũng OK pin đc lâu sạc nhanh",5,18/02/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
30,"Mình mua máy samsung a20s được 4 ngày rồi. Nói chung máy xài ổn trong tầm giá, pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày. Chụp hình đẹp, máy rất mượt.
Chỉ có lâu lâu cảm biến vân tay không được nhạy, ngón tay hơi ướt xíu là máy không nhận được vân tay luôn, không có ốp lưng nên xài hơi bị xót xíu ( mình làm trong môi trường chăn nuôi bụi cám này kia nhiều ).",5,24/10/2019,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Negative};{OTHERS};
31,Tại sao thì thoảng tôi mở máy thì phải đợi 5-10s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,4,7/5/2020,{PERFORMANCE#Negative};{GENERAL#Positive};
32,"iphone luôn ổn định, thiết kế không có gì mới nhưng vẫn chưa lỗi thời, mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày, bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi, thích iphone từ lâu mỗi tội tài chính eo hẹp, đang tich góp để cuối năm rước một e zìa quê luôn.",5,28/05/2017,{BATTERY#Neutral};{DESIGN#Neutral};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
33,Đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh. Khuyên mọi người đừng mua..,1,22/02/2020,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};
34,Lỗi lưu ảnh và viền 4 góc sáng . Khá là bực. Mong Xiaomi việt nam sớm có cách khắc phục,1,19/04/2020,{SCREEN#Negative};{FEATURES#Negative};{SER&ACC#Neutral};
35,"Tôi nghĩ rằng nó được 4 star với 1,2tr tầm giá rẻ rách, nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star.",4,25/12/2019,{FEATURES#Negative};{PRICE#Positive};
36,"Máy dùng ok, chỉ cài khóa mk, vân tay khuôn mặt rồi mà khi mở lại ko cần, vuốt là mở đc, còn lại ổn, bluetooth bình thường pin lâu, nhạc hay..",4,23/01/2020,{FEATURES#Neutral};{BATTERY#Positive};{GENERAL#Positive};
37,Tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường Kính Dương Vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,1,4 ngày trước,{SER&ACC#Negative};{OTHERS};
38,Máy chs game khá mượt.pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời *****,5,19/06/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
39,"Điện thoại đẹp, màn hình rõ, nghe gọi OK, chụp hình cũng đẹp, giá tầm này thì quá OK rồi. nhân viên TGDD thoại sơn an giang thì cực kỳ dễ thương luôn 🥰🥰🥰",5,25/01/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{DESIGN#Positive};{PRICE#Positive};{SER&ACC#Positive};
40,"Xài ok, máy mượt, chụp ảnh đẹp, sạc nhanh mà sao nhiều bạn chê tào lao quá. Pin 4k mà xài 1 ngày vầy là tốt rồi",5,21/12/2019,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};
41,"Với s20 ultra mức giá này bằng với Oppo find x2 thì nên mua find x2 vì Oppo hơn hẳn con ultra về cấu hình, màn hình, pin và tốc độ sạc. Ultra chỉ hơn được về chụp ảnh thôi, còn Oppo find x2 max mượt, max phê",4,10/6/2020,{SCREEN#Negative};{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};
42,Máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10p sau mới khỏi ding lại được. Tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,1,22/01/2020,{FEATURES#Negative};{PERFORMANCE#Negative};
43,"Sau 1 tuần sử dụng thì mình đánh giá như sau, về camera thì thấy cũng bình thường, cam truớc không được tốt lắm. Cấu hình không bằng con Vsmart 5tr. Máy đẹp, nhẹ, mỏng. Pin cũng tạm, mỗi ngày sạc pin 1 lần. Bạn nào mua vì màn đẹp vs camera thì nên mua. Còn mua để chơi game thì ko nên lựa",4,1/4/2020,{SCREEN#Positive};{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Negative};{DESIGN#Positive};
44,Sản phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la k có tai nghe có đúng vậy k ạ,1,29/02/2020,{OTHERS};
45,Sản phẩm đẹp. Tuyệt vời. Hi vọng trong qtrinh sd k xảy ra lỗi. Nv nhiệt tình. Ms,5,16/09/2019,{DESIGN#Positive};{SER&ACC#Positive};{OTHERS};
46,"Mua lâu rồi. vân tay quá kém dí mãi mới mở đc, chơi game (vd liên quân) thì cảm ứng ko nhạy rất kém, máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý ( ko phải do mạng hay fps)lúc chơi  , loa ngoài chơi game khá nhỏ. Nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc.",1,7/10/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{DESIGN#Positive};
47,"máy rất ok,mượt,chơi game quá đỉnh.có đều pin hơi tụt nhưng cho là ok.vừa vs túi tiền ok.",5,17/04/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Negative};
48,Note10 . Bin rất tệ. Máy ko xài vẫn tuột phần trăm. Vừa sạt đầy 100% pin. Để đó ko xài từ ság tới tối về nhìn lại còn 40% vậy 60% pin kia ko làm dì mà sao mất nhỉ. Máy mua dk 1 tuần rồi. Pin rất tệ,1,1/9/2019,{BATTERY#Negative};{OTHERS};
49,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện thoại khác bật SD,5,23/12/2019,{SCREEN#Negative};{PERFORMANCE#Positive};
50,"Máy rất xịn 
Thứ nhất : chơi game mượt với chíp snap
Thứ hai : pin trâu xài cả ngày mà còn 50% 
Thư ba : màn hình đẹp chụp hình sáng",5,31/01/2020,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
51,"Sp tuyệt vời chắt mua em nó quá... Vì chán hàng made in China rồi, người Việt dùng hàng Việt.",5,2 tuần trước,{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
52,mình mới mua hồi chiều .minh vo cài đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu vậy,5,14/08/2020,{OTHERS};
53,"Mọi thứ xài thì khá ok, chỉ có pin tuột nhanh kinh khủng, không xài cũng tuột 100% chực được 5p là còn 95% ý là không chưa game đó",1,8/2/2020,{BATTERY#Negative};{GENERAL#Positive};
54,Thấy mọi người đánh giá nhiều lỗi nhưng đó là do phần mềm lúc các bạn đó mua máy là phần mềm chưa cập nhật. Mình mua máy được một tháng và dùng rất ok không một lỗi nào vì Xiaomi đã update phần mềm fix lỗi hết rồi. Các bạn yên tâm mua nhé .,5,29/07/2020,{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};
55,"Dùng tạm tạm , camera quá tệ , phần mềm thì cài các ứng dụng mặc định như vinid ,mua sắm...quá nhiều , mua điện thoại để dùng cá nhân chứ không phải mua điện thoại để Vinmart quảng cáo . Giá rẻ không đáng bỏ tiền mua",1,7/1/2020,{CAMERA#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Negative};{SER&ACC#Negative};
56,Máy mượt pin trâu nhưng Xạc pin mà nó cứ ấm ấm z có nguy hiểm không ad ngoài ra thì rất tốt,5,24/03/2020,{BATTERY#Neutral};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};
57,Cho e hỏi máy mua được một năm r nhưng dạo gần đây pin hay tụt nhanh lắm.giúp em cách khác phục với,5,20/07/2020,{BATTERY#Negative};{OTHERS};
58,Sản phẩm xài tốt 2 tháng rồi mà chưa thấy lỗi nào xài rất tốt chơi pubg và call ò duty mobile đều max seettings ko gật lag nào hết,5,21/10/2019,{PERFORMANCE#Positive};{GENERAL#Positive};
59,Mới mua đc 15 ngày. Xài tạm ổn nhưng pin tụt nhanh. Máy sạc bị nóng.mới mua mà chưa gì máy đã bị nóng. Còn lại ổn,3,6 ngày trước,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};
60,"Pin sạc 3 tiếng từ 15%-100% (pin trâu)
Camera chụp hình khá đẹp trong điều kiện sáng tốt, có chế độ chụp cảnh buổi tối khá tốt
Cảm biến vân tay rất nhạy
Những thao tác xem phim, nghe nhạc, lướt web đều mượt
Quay phim chống rung tốt
Loa vừa đủ nghe, ấm
Màn hình hiển thì rất nét (mình k biết là do rổ hay gì)
(đây là những đánh giá sau 2 ngày mình sử dụng, đây là điện thoại tốt trong tầm giá trên 3 triệu, không nên đòi hỏi nhiều về game hay những thao tác nặng hơn)",5,18/03/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};
61,Good máy dùng mượt pin thì hơi kém tí nói chung ok nhân viên nhiệt tình thanks thế giới di động,5,2/11/2019,{BATTERY#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
62,"Quá thất vọng, mời mua 2 ngày mà xài cảm giác quá tệ luôn, thua cả con J7pro mua năm 2017. Pin thì nhanh hết (chỉ vào Zalo, FB thôi) xài 1 buổi bình thường mà hết 50% pin. Còn bắt sóng Wifi, 3G kém, Chat Zalo có nhiều lúc không nhận được tin, hoặc lâu mới nhận được. Còn kiểu dáng, camera, tốc độ thì Ok. Đề nghị samsung xem lại!",2,3/1/2020,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Negative};{OTHERS};
63,Sản phẩm rất tốt. Chơi game rất tốt . pin trâu . mỗi tội ứng dụng của máy dính quảng cáo quá nhiều . trong phần cài đặt cũng có quảng cáo của gg chèn vào .,5,28/02/2020,{BATTERY#Positive};{PERFORMANCE#Neutral};{GENERAL#Positive};
64,Sai lầm khi mua đt này ghê ă. Nghe nv tư vấn xoq mua lun về xem lại cấu hình mới thấy chán. Tầm giá này mà màn hình chỉ mức HD+ . sử sụng chip rất yếu chơi game thì giật liên tục.,2,29/03/2020,{SCREEN#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Negative};
65,"mình mới mua chiếc điện 3 GB chiếc màu tím . Với mức giá như thế này thì các bạn nên mua một chiếc cho bản thân . Chơi game mượt, loa tốt, wifi ổn, các tác vụ bình thường thì ok",5,27/06/2020,{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};
66,Thiết kế đẹp. So với giá thành thì chất lượng cực ổn. Mình đi du lịch cầm con này theo selfie rất ưng ý.,5,16/12/2019,{CAMERA#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};
67,Sao mình sài đc 1 tháng thì bị hư lỗ cắm tai nghe và khi gọi cho người khác thì màn hình bị tắt,3,12/6/2020,{FEATURES#Neutral};{DESIGN#Negative};
68,"Mua máy dc 1 tuần. Đối với 6 triệu thì máy quá ok.  Mọi thứ đều hoạt động mượt mà. Đặc biệt pin trâu. Xài 2 ngày mới cần sạc pin lại. Mình dùng toàn 3G, k dùng wifi, ít chơi game, chỉ Facebook, zalo, Youtube, thỉnh thoảng có xem phim mà đến tối muốn cho hết pin để sạc mà k hết dc. Xứng đáng số tiền bỏ ra.",5,9/4/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{OTHERS};
69,"Điện thoại khi tin nhắn tới lâu lâu sẽ nghe nó bị rè rè , âm thâm tin nhắn như bị đè nén đi",4,22/06/2020,{FEATURES#Negative};
70,Ứng dụng văn phòng rất chán đặc biệt ng sử dunbj email làm việc như mình. Còn chơi game vs lướt web thì chấp nhận đc. Pin khoẻ,3,25/05/2020,{BATTERY#Positive};{PERFORMANCE#Negative};
71,Khá ok ngon về mọi thứ màn mượt.pin khỏe . sạc maxx sướng.cảm giác phê lòi..... hơn hẳn SS về mọi mặt.hehe,5,2 tuần trước,{FEATURES#Positive};{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};
72,"Hên ghê. Lúc mua em này được giảm 700k giá ưu đãi 2tr990. Mua 2 ốp lưng giá 90k+thêm khách hàng thân thiết giảm thêm 150k nữa nên tậu luôn cái tai phone. Nói gì nói chứ thấy máy chạy mượt mà sao nhiều bạn lại chê. Mình không chơi game nên như vậy là quá Ok rồi. Nhân viên nhiệt tình,vui vẻ.",5,17/08/2020,{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
73,Mới mua cách đay mấy ngày thật sự rất tệ. load hình quá chậm và nhảy màn hinh.loa nghe nhạc qua nhỏ,1,3/4/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};
74,Máy dùng tạm được. Đang dùng quen IP sáng máy này thì ko ưng về cảm ứng và chất lượng video. Xem nhiều gây nhức mắt. Được cái pin khoẻ. Dùng cả buổi sáng hết 8%.,3,10/12/2019,{SCREEN#Negative};{FEATURES#Negative};{BATTERY#Positive};{GENERAL#Neutral};
75,"Đánh giá sau 1 năm sử dụng thì :
- chơi game cực đã vì pin trâu+sạc nhanh+hiệu năng tốt
- chụp ảnh ở mức bình thường đủ dùng để làm việc chứ k dùng vào việc sống ảo hay chụp chuyên nghiệp 
- được update phần mềm thường xuyên 
- nhược điểm lớn nhất của phần thiết kế là camera lồi quá nên bị xước
- màn hình siêu bền với gorillas 3
- điều ghét nhất ở máy này đó là wifi hay bị lag
Kết: đáng mua trong tầm giá này",4,20/06/2020,{SCREEN#Positive};{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Negative};{PRICE#Neutral};{GENERAL#Positive};
76,Máy bỏ túi hay bị chụp màn hình loạn xì ngầu. Máy mới nhưng loa rất rè. Có ai bị giống mình không,3,6 ngày trước,{FEATURES#Negative};{OTHERS};
77,"đừng có mua nếu ai đó đang dự định mua. sản phẩm xài 1,2 tháng có dấu hiệu đơ máy, cảm ứng lâu lâu không nhạy. nói chung rất thất vọng khi mua. nói trước kẻo mốt ôm hận.",1,6 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{OTHERS};
78,"Sóng sánh kém lắm,giữa đất thị trấn mà chỉ đc 2-3 vạch. Wifi vào phòng trong cách khoảng 5m mà bắt đc 3 vạch. Đã gửi đi hãng thẩm định. Pin qua đêm tắt hết ứng dụng,mạng mà sáng dậy tụt 12%.
Chơi liên quân đôi khi vẫn bị khựng lại chút.đc cái màn nét.",2,3/7/2020,{SCREEN#Positive};{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};
79,"Mọi thứ đều ổn, trừ đánh thức cảm ứng màn hình khi lên lúc thì không.. phải Sài nút bấm nguồn",3,16/07/2020,{FEATURES#Negative};{GENERAL#Positive};
80,"Huawei P30 Lite sẽ sở hữu màn hình 6.15 inch độ phân giải Full HD+ với phần notch kiểu giọt nước, tích hợp chip Kirin 710, viên pin dung lượng 3.240 mAh (hỗ trợ sạc nhanh 18W) và được trang bị cụm 3 camera 20 + 16 + 2 MP",4,19/03/2019,{SCREEN#Neutral};{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Neutral};{DESIGN#Neutral};{SER&ACC#Neutral};
81,OK tất mỗi tội loa hơi nhỏ 1 tí và màn hình xem phim k mỏi mắt nhưng hình ảnh k được mượt cho lắm . Còn chíp thì antutu đc 288k điểm mạnh . Hơn hẳn 730g,4,19/02/2020,{SCREEN#Negative};{FEATURES#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};
82,"Mình cảm thấy oppo ko mượt như quảng cáo, máy mình sử dụng bị lỗi ứng dụng sau 15 ngày và phải đổi máy khác, chụp hình mặt như bị sưng ko đẹp. ko đáng bỏ ra gần 13 triệu.",5,20/06/2020,{PERFORMANCE#Negative};{DESIGN#Negative};{PRICE#Negative};{SER&ACC#Negative};
83,Tôi rất thích sản phẩm này với tâm già 8990 khó có còn nào lại nó vẻ ngoài hình lẫn chức năng,5,8/4/2020,{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};
84,Pin tuột hơi bị nhanh đấy. Chỉ lướt fb. Bật tiết kiệm pin mà có 10p từ 90 còn 84% . Cảm biến vâng tay tạm thôi . Chụp hình đẹp. Chỉ k hài lòng về pin của con này thôi. Bù lại sạc nhanh nên cũng đỡ,4,3/2/2020,{CAMERA#Positive};{FEATURES#Neutral};{BATTERY#Neutral};
85,Cảm nhận của mình khi sử dụng A70 thật sự quá tốt mình cũng sợ lỗi này nó khi tham khảm nhiều ý kiến nhưng khi mua rồi thật sự không có gì để chê trách pin trâu màn đẹp xem phim chơi game rất thích đặc biệt viền bezel của máy rất mỏng ae nào còn lăng tăng hay vẫn tham khảm thì mình nói thật nên mua mà trải nghiệm mới biết được máy như thế nào đâu phải một máy lỗi là tất cả đều bị lỗi đâu riêng mình đánh giá e này rất tốt so với tầm tiền này bỏ ra nhé,5,3/7/2019,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};
86,"Máy ok. Chỉ có hơi thất vọng về pin và không có tấm dán màn zin, dùng tấm dán film cảm giác k mượt. Thái độ phục vụ rất tốt. Cho 4*",4,13/06/2020,{BATTERY#Negative};{GENERAL#Positive};{SER&ACC#Neutral};
87,"Máy mới nghe gọi to rõ OK . Nhân viên TGDD rất nhiệt tình rất thích, máy tuy nghệ gọi những đây đủ chức năng. Nghe nhạc to khá hay.",5,10/8/2020,{FEATURES#Positive};{SER&ACC#Positive};
88,"Máy dùng OK pin trâu, nhân viên tư vấn nhiệt tình... chất lượng đúng với giá thành,",4,12/8/2020,{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};
89,"QUÁ NGON MỌI NGƯỜI ƠI. ỦNG HỘ BÁC VƯỢNG ĐI NÀO :v , pin trâu mượt mà, nhiều tính năng thú vị, đặc biệt là trả lời tin nhắn nhanh như trên wp 10.",5,19/02/2020,{FEATURES#Positive};{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};
